rule_id,status,rate_evidence_span,evidence_locator,source_url,acquired_at,method,note
KB_CARD_LOAN_STEP_T1,ADDED,우대금리: 최고 연 0.9%p 우대,상품페이지 우대금리 안내 머리 문장 (구간 우대폭은 조건 문장에 이미 포함),https://obank.kbstar.com/quics?page=C020709&cc=b032425:b033525&prcode=LN20000066,2026-08-23,원문 소스 확인 (raw HTML 72938자),구간 우대폭은 조건 문장에 있고 cap_pp 0.9 근거를 추가 확보
KB_CARD_LOAN_STEP_T2,ADDED,우대금리: 최고 연 0.9%p 우대,상품페이지 우대금리 안내 머리 문장 (T1과 동일 출처),https://obank.kbstar.com/quics?page=C020709&cc=b032425:b033525&prcode=LN20000066,2026-08-23,원문 소스 확인,cap_pp 0.9 근거 확보
KB_CARD_LOAN_STEP_T3,ADDED,우대금리: 최고 연 0.9%p 우대,상품페이지 우대금리 안내 머리 문장 (T1과 동일 출처),https://obank.kbstar.com/quics?page=C020709&cc=b032425:b033525&prcode=LN20000066,2026-08-23,원문 소스 확인,cap_pp 0.9 근거 확보
KB_SAVINGS_LOAN_HOLD,ADDED,③ 적립식예금(30만원 이상) 보유 우대 : 연 0.1%p · 우대금리: 최고 연 0.9%p 우대,상품페이지 우대금리 안내 ③항,https://obank.kbstar.com/quics?page=C020709&cc=b032425:b033525&prcode=LN20000066,2026-08-21,WebFetch 인용,우대폭 0.1%p 접지 완료
KB_RECALC_A4,ADDED,※ 우대금리는 각 항목의 우대조건 충족여부에 따라 대출신규 3개월 이후 매월 재산정되어 적용됩니다.,상품페이지 우대금리 안내 각주 (재산정 주기 원문),https://obank.kbstar.com/quics?page=C020709&cc=b032425:b033525&prcode=LN20000066,2026-08-23,원문 소스 확인,"threshold=1은 센티넬이나, window=1M(매월 재산정)의 근거를 확보"
HF_SUBSCRIPTION_DIDIMDOL_T1,ADDED,"가입기간이 5년 이상이고 납입회차가 60회차 이상인 경우 연 0.3%p 적용, 가입기간이10년 이상이고 납입회차가 120회차 이상인 경우 연 0.4%p 적용, 가입기간이 15년 이상이고 납입회차가 180회차 이상인 경우 연 0.5%p 적용 대출접수일 현재 본인 또는 배우자 명의의 청약(종합)저축 가입중인 경우 금리우대(본 건 목적물 당첨에 따라 해지된 계좌 포함)",업무처리기준 PDF 16쪽 (2026-08-21 취득본·총 42쪽 / 귀속조건 문장 동일 16쪽 · 2026-08-25 원본 PDF에서 재검증),https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,2026-08-21,PDF 원문 추출,threshold 60 + 우대폭 0.3%p 접지 완료
HF_SUBSCRIPTION_DIDIMDOL_T2,ADDED,"가입기간이 5년 이상이고 납입회차가 60회차 이상인 경우 연 0.3%p 적용, 가입기간이10년 이상이고 납입회차가 120회차 이상인 경우 연 0.4%p 적용, 가입기간이 15년 이상이고 납입회차가 180회차 이상인 경우 연 0.5%p 적용 대출접수일 현재 본인 또는 배우자 명의의 청약(종합)저축 가입중인 경우 금리우대(본 건 목적물 당첨에 따라 해지된 계좌 포함)",업무처리기준 PDF 16쪽 (2026-08-21 취득본·총 42쪽 / 귀속조건 문장 동일 16쪽 · 2026-08-25 원본 PDF에서 재검증),https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,2026-08-21,PDF 원문 추출,threshold 120 + 우대폭 0.4%p 접지 완료
HF_SUBSCRIPTION_DIDIMDOL_T3,ADDED,"가입기간이 5년 이상이고 납입회차가 60회차 이상인 경우 연 0.3%p 적용, 가입기간이10년 이상이고 납입회차가 120회차 이상인 경우 연 0.4%p 적용, 가입기간이 15년 이상이고 납입회차가 180회차 이상인 경우 연 0.5%p 적용 대출접수일 현재 본인 또는 배우자 명의의 청약(종합)저축 가입중인 경우 금리우대(본 건 목적물 당첨에 따라 해지된 계좌 포함)",업무처리기준 PDF 16쪽 (2026-08-21 취득본·총 42쪽 / 귀속조건 문장 동일 16쪽 · 2026-08-25 원본 PDF에서 재검증),https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,2026-08-21,PDF 원문 추출,threshold 180 + 우대폭 0.5%p 접지 완료
KBANK_CARD_SAVINGS,ADDED,케이뱅크 체크카드: 월 20만원 이상 사용(월 산정기준: 매월 1일부터 말일) — 케이뱅크 체크카드(연 0.3 %) · 최고 연 0.60%,상품페이지 본문 우대조건 안내 + JSON-LD 우대금리조건 (조건 항목·우대폭·상한이 분리 표기),https://www.kbanknow.com/web/product/deposit/primary-saving,2026-08-23,원문 소스 확인 (raw HTML 104805자에서 세 표기 모두 대조),threshold 200000 + 우대폭 0.3 + cap 0.6 접지 완료 — VERBATIM
KBANK_TELECOM_SAVINGS,ADDED,"급여이체 또는 통신비 자동이체(연 0.3%) — 통신비 이체 실적은 통신 3사(KT,SKT,LGU+만 인정)실적을 확인하며, 통신 3사 외 알뜰폰(MVNO) 등의 통신비 이체 실적은 인정되지 않음 · 최고 연 0.60% · 적요 또는 입금통장표시내역에 월급/급여/수당/급료/SALARY/salary/상여/보너스라고 표시되어 있는 경우 · 당행 본인계좌에서 이체한 건은 급여실적 제외",페이지 JSON-LD 우대금리조건 (application/ld+json),https://www.kbanknow.com/web/product/deposit/primary-saving,2026-08-23,원문 소스 확인 (JSON-LD 직접 추출),우대폭 0.3 + cap 0.6 + 귀속조건(급여 인정기준·당행 이체 제외) 접지 완료 — VERBATIM
