rule_id,rule_group,institution,product,archetype,source_product,target_product,metric,window,operator,threshold,effect_kind,effect_value,effect_unit,attribution_rule,inclusion_set,exclusion_set,history_condition_set,cap_pp,reversible,retroactive_restore,recalc_frequency,source_url,source_doc,evidence_span,clause_hash,clause_locator,last_verified_at,verbatim_confidence,status
KB_CARD_LOAN_STEP_T1,KB_CARD_LOAN_STEP,KB국민은행,대출 금리감면(카드 이용실적),A1_THRESHOLD_STEP|A4_MAINTENANCE_RECALCULATION,신용카드,대출,rolling_3m_card_spend_krw,3M,>=,300000,rate_discount,0.1,pp,결제계좌를 KB국민은행으로 지정,,,,0.9,TRUE,TRUE,대출신규 3개월 이후 매월,https://obank.kbstar.com/quics?page=C020709&cc=b032425:b033525&prcode=LN20000066,웹페이지,"결제계좌를 KB국민은행으로 지정하고, 최근 3개월 30만원 (연0.1%p)/60만원(연0.2%p)/90만원(연 0.3%p)이상 이용실적이 있는 경우",a0951170c39783c22e78eaf400435f47b3eb60439a84f9c024fe9f92d3faff3d,최근 3개월 30만원,2026-08-16,VERBATIM,ACTIVE
KB_CARD_LOAN_STEP_T2,KB_CARD_LOAN_STEP,KB국민은행,대출 금리감면(카드 이용실적),A1_THRESHOLD_STEP|A4_MAINTENANCE_RECALCULATION,신용카드,대출,rolling_3m_card_spend_krw,3M,>=,600000,rate_discount,0.2,pp,결제계좌를 KB국민은행으로 지정,,,,0.9,TRUE,TRUE,대출신규 3개월 이후 매월,https://obank.kbstar.com/quics?page=C020709&cc=b032425:b033525&prcode=LN20000066,웹페이지,"결제계좌를 KB국민은행으로 지정하고, 최근 3개월 30만원 (연0.1%p)/60만원(연0.2%p)/90만원(연 0.3%p)이상 이용실적이 있는 경우",a0951170c39783c22e78eaf400435f47b3eb60439a84f9c024fe9f92d3faff3d,최근 3개월 30만원,2026-08-16,VERBATIM,ACTIVE
KB_CARD_LOAN_STEP_T3,KB_CARD_LOAN_STEP,KB국민은행,대출 금리감면(카드 이용실적),A1_THRESHOLD_STEP|A4_MAINTENANCE_RECALCULATION,신용카드,대출,rolling_3m_card_spend_krw,3M,>=,900000,rate_discount,0.3,pp,결제계좌를 KB국민은행으로 지정,,,,0.9,TRUE,TRUE,대출신규 3개월 이후 매월,https://obank.kbstar.com/quics?page=C020709&cc=b032425:b033525&prcode=LN20000066,웹페이지,"결제계좌를 KB국민은행으로 지정하고, 최근 3개월 30만원 (연0.1%p)/60만원(연0.2%p)/90만원(연 0.3%p)이상 이용실적이 있는 경우",a0951170c39783c22e78eaf400435f47b3eb60439a84f9c024fe9f92d3faff3d,최근 3개월 30만원,2026-08-16,VERBATIM,ACTIVE
KB_SAVINGS_LOAN_HOLD,KB_SAVINGS_LOAN,KB국민은행,대출 금리감면(적립식예금 보유),A1_THRESHOLD_STEP,적립식예금,대출,savings_balance_krw,POINT,>=,300000,rate_discount,0.1,pp,,,,,0.9,TRUE,TRUE,대출신규 3개월 이후 매월,https://obank.kbstar.com/quics?page=C020709&cc=b032425:b033525&prcode=LN20000066,웹페이지,적립식 예금 잔액 30만원이상 계좌 보유,d51bec94ec8826f905dfec0573ff04058303a73d14801844c05bb09c6f6884fd,적립식 예금 잔액 30만원이상,2026-08-16,VERBATIM,ACTIVE
KB_RECALC_A4,KB_RECALC,KB국민은행,대출 금리감면 재산정 주기,A4_MAINTENANCE_RECALCULATION,-,대출,recalc_cycle,1M,==,1,eligibility,,,,,,,,TRUE,TRUE,대출신규 3개월 이후 매월,https://obank.kbstar.com/quics?page=C020709&cc=b032425:b033525&prcode=LN20000066,웹페이지,우대금리는 각 항목의 우대조건 충족여부에 따라 대출신규 3개월 이후 매월 재산정되어 적용됩니다.,60d02ddd2a608c3dc317e46985d519804da70ac39d37be0983dd8580ba1fe83f,대출신규 3개월 이후 매월 재산정,2026-08-16,VERBATIM,ACTIVE
HF_SUBSCRIPTION_DIDIMDOL_T1,HF_SUBSCRIPTION_DIDIMDOL,한국주택금융공사,내집마련 디딤돌대출,A5_TERMINATION_LOSS_EVENT|A6_EXCEPTION_EXCLUSION|A7_ELIGIBILITY_HISTORY,청약(종합)저축,주택담보대출,subscription_months,60M,>=,60,rate_discount,0.3,pp,본인 또는 배우자 명의,,,,0.5,FALSE,FALSE,6개월,https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,업무처리기준 2026-06-22판,"대출기간 중 금리우대에 적용된 청약(종합)저축 해지시 금리우대 적용이 제외되며, 대출기간 중 금리우대조건을 충족하더라도 금리우대 적용 불가",15bbcab8267bbf7c9c2f7c562f21bb9b14f3c84347ebbd614eb296077b164759,금리우대에 적용된 청약(종합)저축 해지시,2026-08-16,VERBATIM,ACTIVE
HF_SUBSCRIPTION_DIDIMDOL_T2,HF_SUBSCRIPTION_DIDIMDOL,한국주택금융공사,내집마련 디딤돌대출,A5_TERMINATION_LOSS_EVENT|A6_EXCEPTION_EXCLUSION|A7_ELIGIBILITY_HISTORY,청약(종합)저축,주택담보대출,subscription_months,120M,>=,120,rate_discount,0.4,pp,본인 또는 배우자 명의,,,,0.5,FALSE,FALSE,6개월,https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,업무처리기준 2026-06-22판,"대출기간 중 금리우대에 적용된 청약(종합)저축 해지시 금리우대 적용이 제외되며, 대출기간 중 금리우대조건을 충족하더라도 금리우대 적용 불가",15bbcab8267bbf7c9c2f7c562f21bb9b14f3c84347ebbd614eb296077b164759,금리우대에 적용된 청약(종합)저축 해지시,2026-08-16,VERBATIM,ACTIVE
HF_SUBSCRIPTION_DIDIMDOL_T3,HF_SUBSCRIPTION_DIDIMDOL,한국주택금융공사,내집마련 디딤돌대출,A5_TERMINATION_LOSS_EVENT|A6_EXCEPTION_EXCLUSION|A7_ELIGIBILITY_HISTORY,청약(종합)저축,주택담보대출,subscription_months,180M,>=,180,rate_discount,0.5,pp,본인 또는 배우자 명의,,,,0.5,FALSE,FALSE,6개월,https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,업무처리기준 2026-06-22판,"대출기간 중 금리우대에 적용된 청약(종합)저축 해지시 금리우대 적용이 제외되며, 대출기간 중 금리우대조건을 충족하더라도 금리우대 적용 불가",15bbcab8267bbf7c9c2f7c562f21bb9b14f3c84347ebbd614eb296077b164759,금리우대에 적용된 청약(종합)저축 해지시,2026-08-16,VERBATIM,ACTIVE
KBANK_CARD_SAVINGS,KBANK_CARD_SAVINGS,케이뱅크,주거래우대 자유적금,A1_THRESHOLD_STEP|A3_TIME_WINDOW_CONSTRAINT|A6_EXCEPTION_EXCLUSION,체크카드,적금,monthly_check_card_spend_krw,1M,>=,200000,rate_discount,0.3,pp,,체크카드,,,0.6,TRUE,TRUE,실적 인정 기간 내 3개월(연속 불요),https://www.kbanknow.com/web/product/deposit/primary-saving,웹페이지 우대조건표(조회기준일 2026-08-16),실적 인정 기간 동안 3개월 이상 케이뱅크 체크카드 실적이 있는 경우,8d5839f6d76471b4a3837ac41ded716b5d87c3b375380ac538df33e6947b04ec,체크카드 실적이 있는 경우,2026-08-16,VERBATIM,ACTIVE
KBANK_TELECOM_SAVINGS,KBANK_TELECOM_SAVINGS,케이뱅크,주거래우대 자유적금,A1_THRESHOLD_STEP|A6_EXCEPTION_EXCLUSION,급여이체/통신비,적금,salary_or_telecom_transfer_months,1M,>=,3,rate_discount,0.3,pp,당행 본인계좌에서 이체 건은 조건 충족해도 제외,"급여이체(건당 50만원 이상),통신 3사(KT/SKT/LGU+) 통신비",알뜰폰(MVNO) 통신비,,0.6,TRUE,TRUE,실적 인정 기간 내 3개월(연속 불요),https://www.kbanknow.com/web/product/deposit/primary-saving,JSON-LD schema.org FinancialProduct(금리기준일 2026-05-13),"1. 실적인정기간 - 예금 신규월 1일부터 예금 만기 전월 말일까지 2. 급여이체 인정기준 - 적요 또는 입금통장표시내역에 월급/급여/수당/급료/SALARY/salary/상여/보너스라고 표시되어 있는 경우 - 적요 또는 입금통장표시내역에 고객정보의 직장명 앞 4글자 중 연속한 2글자가 포함되어 있는 경우 (단, '주식회사,(주),유한회사, (유), 합명회사, 합자회사, (합), 재단법인,(재), 사단법인, (사)'를 제외한 나머지 명칭) - 기타 당행 전산상 급여로 인정되는 경우 3. 실적 확인 관련 안내사항 - 3개월 이상 실적 확인 시 연속하여 3개월 이상 실적을 확인하는 것은 아님 - 1개월(1일부터 말일까지) 이내 2회 이상 급여이체, 통신비이체 실적이 있는 경우 실적은 1개월로 인정함 - 통신비 이체 실적은 통신 3사(KT,SKT,LGU+만 인정)실적을 확인하며, 통신 3사 외 알뜰폰(MVNO) 등의 통신비 이체 실적은 인정되지 않음",bf536103de064eab5e7090f9ae5e383a75bd4325a266e119705c70a20689815a,실적 확인 관련 안내사항,2026-08-16,VERBATIM,ACTIVE
